Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions
10.or,G2,G2,3742MB,Phone,Qualcomm SDM636,1080x2246,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
10.or,E,E,2840-2846MB,Phone,Qualcomm MSM8937,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
10.or,G,G,2851-3582MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25;27,3.2
10.or,D,10or_D,2868-2874MB,Phone,Qualcomm MSM8917,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25;27,3.0
3Go,GT70053G,GT70053G,955MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,27,2.0
3Go,GT10K3IPS,GT10K3IPS,981MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,27,2.0
4good,4GOOD Light B100,4GOOD_Light_B100,907MB,Phone,Mediatek MT6737M,540x960,240,armeabi-v7a;armeabi,24,3.1
7mobile,DRENA,DRENA,925MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,24,2.0
7mobile,KAMBA,KAMBA,1957MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
7mobile,SWEGUE,SWEGUE,1836MB,Phone,Mediatek MT6737T,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.1
7mobile,Swegue 2,Swegue_2,1861MB,Phone,Mediatek MT6739CH,480x996,240,armeabi-v7a;armeabi,27,3.2
7mobile,Kamba 2,7mobile_Kamba_2,2884MB,Phone,Mediatek MT6739CH,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
A1,A1 Smart N9,VFD720,1874MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Aamra WE,E2,E2,964MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,24,2.0
Aamra WE,A50,A50,450MB,Phone,Spreadtrum SC7731E,480x854,240,armeabi-v7a;armeabi,27,3.2
Aamra WE,A10,A10,450MB,Phone,Spreadtrum SC7731E,480x800,240,armeabi-v7a;armeabi,27,3.2
Accent,Pearl_A4,Pearl_A4,955MB,Phone,Mediatek MT6580,720x1440,320,armeabi-v7a;armeabi,24,2.0
Accent,PEARL A4 Lite,PEARL_A4_Lite,903MB,Phone,Spreadtrum SC7731E,720x1440,320,armeabi-v7a;armeabi,27,3.2
Accent,CAMELEON C5,CAMELEON_C5,925-932MB,Phone,Spreadtrum SC7731E,480x854;480x960,240,armeabi-v7a;armeabi,24;27,2.0;3.2
Accent,PEARL A6,PEARL_A6,2897MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Accent,C5,C5,932MB,Phone,Spreadtrum SC7731E,480x960,240,armeabi-v7a;armeabi,27,3.2
Accent,FAST7 3G,FAST7_3G,954MB,Tablet,Mediatek MT8321,720x1280,160,armeabi-v7a;armeabi,24,2.0
Accent,Pearl A4 PLUS,PEARL_A4_PLUS,1929MB,Phone,Mediatek MT6737,720x1440,320,armeabi-v7a;armeabi,24,3.1
Accent,Accent Camelon C6 Plus,CAMELEON_C6_PLUS,877MB,Phone,Spreadtrum SC9832,720x1280,320,armeabi-v7a;armeabi,24,2.0
Accent,SPEED S8,SPEED_S8,894MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Accent,Accent Camelon C6,CAMELEON_C6,947MB,Phone,Mediatek MT6580M,540x960,240,armeabi-v7a;armeabi,24,2.0
ACE France,AS0218,AS0218,885MB,Phone,Spreadtrum SC9832E,720x1440,320,armeabi-v7a;armeabi,27,3.2
ACE France,BUZZ_1_Plus,BUZZ_1_Plus,885MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
ACE France,AS0518,AS0518,1822MB,Phone,Mediatek MT6762,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
ACE France,BUZZ_1_Lite,BUZZ_1_Lite,904MB,Phone,Spreadtrum SC7731C,480x960,240,armeabi-v7a;armeabi,27,3.2
ACE France,URBAN 1,URBAN_1,1839MB,Phone,Mediatek MT6739WA,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
ACE France,AS0618,AS0618,2826MB,Phone,Mediatek MT6752,720x1500,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Acegame S.A.,One_Mundial,One_Mundial,983MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,25,2.0
Acegame S.A.,PROTON_JADE_2_PRO,PROTON_JADE_2_PRO,984MB,Tablet,Rockchip RK3126C,800x1280,160,armeabi-v7a;armeabi,25,2.0
Acegame S.A.,SAPPHIRE_HDLT,SAPPHIRE_HDLT,983MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,25,2.0
Acer,Acer Chromebook 11 (C740),paine_cheets,3883MB,PC,Intel 3215U,1366x768,160,x86;armeabi-v7a;armeabi,25,3.1
Acer,Liquid Jade S,acer_S56,1914-1916MB,Phone,Mediatek MT6752M,720x1280,320,armeabi-v7a;armeabi,19;22,3.0
Acer,Liquid Z330,T01,900MB,Phone,Qualcomm MSM8909,480x854,240,armeabi-v7a;armeabi,22,3.0
Acer,Iconia One 10,acer_Colnago,1966MB,Tablet,Mediatek MT8167B,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Acer,Iconia One 10,acer_jetfirelte,1925MB,Tablet,Mediatek MT8735,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,Iconia One 10,corona,970MB,Tablet,Mediatek MT8163,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,22,3.0
Acer,Chromebook 14 for work,lars_cheets,3846MB,PC,Intel 3855U,768x1366,160,x86;armeabi-v7a;armeabi,25,3.1
Acer,B1-780,acer_barricadewifi,948MB,Phone,Mediatek MT8163,720x1280,213,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,J73G,J73G,957MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,23,2.0
Acer,Iconia Tab 10,acer_asgard,1970MB,Tablet,Mediatek MT8176A,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Acer,Iconia Tab 10,acer_asgardfhd,1954MB,Tablet,Mediatek MT8167B,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Acer,Iconia Tab 10,acer_Titan,3959MB,Tablet,Mediatek MT8176A,1200x1920,240,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Acer,Liquid Z630S,acer_t04,2959-2962MB,Phone,Mediatek MT6753,720x1280,320,armeabi-v7a;armeabi,22;23,3.0
Acer,A1-734,acer_barricade,1926MB,Phone,Mediatek MT8735,720x1280,213,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,Chromebook Tab 10,scarlet_cheets,3813MB,PC,Rockchip RK3399,1536x2048,240,armeabi-v7a;armeabi,25,3.2
Acer,Liquid Z6,acer_t09,929MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,23,3.0
Acer,Iconia One 7,vespa2,885MB,Tablet,Intel Z3735G,800x1280,213,x86;armeabi-v7a;armeabi,19,3.0
Acer,Iconia One 7,G1-725,968MB,Tablet,Intel Z2560,600x1024,160,x86;armeabi-v7a;armeabi,19,2.0
Acer,Iconia One 7,acer_Vulcan,967MB,Tablet,Mediatek MT8167B,600x1024,160,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Acer,B1-820,citizen,885MB,Tablet,Intel Z3735G,800x1280,213,x86;armeabi-v7a;armeabi,21,3.1
Acer,Liquid Z530S,acer_t05,2935MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22,3.0
Acer,GT-810,rolex,1836MB,Tablet,Intel x7-8700,1200x1920,320,x86_64;x86;arm64-v8a;armeabi-v7a;armeabi,22,3.1
Acer,Iconia One 8,acer_FrenzyRefresh,1975MB,Tablet,Mediatek MT8163A,1280x800,213,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Acer,Iconia One 8,vespa8,884MB,Tablet,Intel Z3735G,800x1280,213,x86;armeabi-v7a;armeabi,19,3.0
Acer,Iconia One 8,acer_Zipp,963MB,Tablet,Mediatek MT8176A,800x1280,213,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Acer,A3-A30,omega,1891MB,Tablet,Intel Z3735F,1920x1200,240,x86;armeabi-v7a;armeabi,21,3.1
Acer,Liquid Zest,acer_t06,960MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,23,2.0
Acer,Liquid Zest Plus,acer_t08,1943MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,23,3.0
Acer,Liquid Z6 Plus,acer_t11,2918MB,Phone,Mediatek MT6753,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,B1-723,oban,964MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,22,2.0
Acer,Chromebook 15 CB515-1HT/1H,sand_cheets,3827MB,PC,Intel N3350,1080x1920,160,x86;armeabi-v7a;armeabi,25,3.1
Acer,Liquid Z630,acer_t03,1946MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,22,3.0
Acer,Liquid Zest 4G,acer_t07,1944MB,Phone,Mediatek MT6735P,720x1280,320,armeabi-v7a;armeabi,23,3.0
Acer,Liquid Jade 2,acer_s58a,2739MB,Phone,Qualcomm MSM8992,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.1
Acer,C01 (PA),acer_c01,1864MB,Phone,Qualcomm MSM8953,480x640,240,arm64-v8a;armeabi-v7a;armeabi,25,3.2
Acer,Liquid Z220,z220,926MB,Phone,Qualcomm MSM8210,480x800,240,armeabi-v7a;armeabi,21,3.0
Acer,Liquid Z320,T012,900MB,Phone,Qualcomm MSM8209,480x854,240,armeabi-v7a;armeabi,22,3.0
Acer,Liquid Z6E,acer_t10,959MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,23,2.0
Acer,Chromebook 15 (CB3-532),banon_cheets,1946MB,PC,Intel N3060,1366x768,160,x86;armeabi-v7a;armeabi,25,3.1
Acer,Acer One 7 4G,Acer_One_7_4G,1933MB,Tablet,Mediatek MT6735,800x1280,213,armeabi-v7a;armeabi,27,3.1
Acer,Iconia Tab 10 (AsgardLTE),acer_asgardlte,1899MB,Tablet,Mediatek MT8735,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Acer,B1-850,Frenzy,970MB,Tablet,Mediatek MT8163,1280x800,213,arm64-v8a;armeabi-v7a;armeabi,22,3.0
Acer,B1-733,acer_barricade_3G,959MB,Phone,Mediatek MT8321,720x1280,213,armeabi-v7a;armeabi,23,2.0
Acer,B3-A30,acer_jetfirehd,948MB,Tablet,Mediatek MT8163,1280x800,160,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Acer,Liquid Z530,acer_T02,1946MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,22,3.0
Acer,Chromebook 15 (CB5-571),yuna_cheets,3883MB,PC,Intel 3215U,1080x1920,160,x86;armeabi-v7a;armeabi,25,3.1
Acer,Liquid X2,acer_S59,2935MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22,3.0
Acer,Acer Chromebook R13,elm_cheets,3936MB,PC,Mediatek MT8173,1080x1920,160,armeabi-v7a;armeabi,25,3.2
Acer,Chromebook R11 (C738T),cyan_cheets,3894-3896MB,PC,Intel N3060,1366x768;768x1366,160,x86;armeabi-v7a;armeabi,23;25,3.0;3.1
Acer,A3-A40,acer_jetfirefhd,1941MB,Tablet,Mediatek MT8163,1920x1200,240,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Adart,RX550,ALIGATOR_RX550,1915MB,Phone,Mediatek MT6737T,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Adart,ALIGATOR S5510 Duo,Aligator_S5510,957MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Adart,ALIGATOR S5062 Duo,S5062Duo,963MB,Phone,Spreadtrum SC7731,480x854,240,armeabi-v7a;armeabi,23,2.0
Adart,ALIGATOR RX510,RX510,900MB,Phone,Qualcomm MSM8909,720x1280,320,armeabi-v7a;armeabi,23,3.0
Adart,S5060 Duo,ALIGATOR_S5060,967MB,Phone,Mediatek MT6580M,480x854,213,armeabi-v7a;armeabi,23,2.0
Adart,ALIGATOR S4080 Duo,ALIGATOR_S4080,967MB,Phone,Mediatek MT6580M,480x800,213,armeabi-v7a;armeabi,23,2.0
Admiral Overseas Corporation,O7,O7,1944MB,Phone,Mediatek MT6735,720x1280,320,armeabi-v7a;armeabi,23,3.0
Admiral Overseas Corporation,Fire,Fire,983MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,25,2.0
Advan digital,G-Tab,ADVAN_G_Tab,1803MB,Phone,Spreadtrum SC9863A,800x1280,400,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Advan digital,E1C,ADVAN_E1C_3G,964MB,Phone,Mediatek MT8321,600x1024,213,armeabi-v7a;armeabi,23,2.0
Advan digital,i55K,ADVAN_i55K,1884MB,Phone,Mediatek MT6737,640x1280,320,armeabi-v7a;armeabi,24,3.1
Advan digital,S4Z,ADVAN_S4Z,952MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,23,2.0
Advan digital,i5C plus,ADVAN_i5C_Plus,1918MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Advan digital,S40 LTE,ADVAN_i4U,803MB,Phone,Spreadtrum SC9850,480x800,240,armeabi-v7a;armeabi,24,3.2
Advan digital,G2,ADVAN_G2,2807MB,Phone,Mediatek MT6750,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Advan digital,i55D,ADVAN_i55D,803MB,Phone,Spreadtrum SC9850,480x960,240,armeabi-v7a;armeabi,24,3.2
Advan digital,i6A,ADVAN_5501,1839MB,Phone,Mediatek MT6739WA,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Advan digital,i6c,ADVAN_i6C,1803MB,Phone,Spreadtrum SC9863A,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Advan digital,I5E,ADVAN_I5E,1944MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,23,3.0
Advan digital,I5E,ADVAN_I5Es,1916MB,Phone,Spreadtrum SC9832A,720x1280,320,armeabi-v7a;armeabi,22,2.0
Advan digital,i5D,ADVAN_i5D,803MB,Phone,Spreadtrum SC9850,480x960,240,armeabi-v7a;armeabi,24,3.2
Advan digital,S5E_NXT,ADVAN_S5E_NXT,703-964MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,22;23,2.0
Advan digital,I Tab,ADVAN_i_Tab,1901MB,Phone,Mediatek MT8735,720x1280,240,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Advan digital,5041,ADVAN_5041,703MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,23,2.0
Advan digital,i7,ADVAN_i7,1931MB,Tablet,Mediatek MT8735M,600x1024,160,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Advan digital,A8,ADVAN_A8,3818MB,Phone,Mediatek MT6750T,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Advan digital,5059,ADVAN_5059,915MB,Phone,Spreadtrum SC9832,480x854,240,armeabi-v7a;armeabi,23,2.0
Advan digital,5060,ADVAN_5060,877MB,Phone,Spreadtrum SC9832A,480x854,240,armeabi-v7a;armeabi,24,2.0
Advan digital,S7A,S7A,456MB,Phone,Spreadtrum SC7731G,600x1024,213,armeabi-v7a;armeabi,22,2.0
Advan digital,S5E FULL VIEW,ADVAN_S5E_FULL_VIEW,803MB,Phone,Spreadtrum SC9850,480x960,240,armeabi-v7a;armeabi,24,3.2
Advan digital,T2J,T2J,998MB,Tablet,Rockchip RK3126,1024x600,160,armeabi-v7a;armeabi,23,2.0
Advan digital,X7 Pro,ADVAN_X7_Pro,933MB,Phone,Spreadtrum SC7731E,600x1024,240,armeabi-v7a;armeabi,27,3.2
Advan digital,X7 Pro,ADVAN_7008,964MB,Phone,Mediatek MT8321,1024x600,213,armeabi-v7a;armeabi,23,2.0
Advan digital,S45E,ADVAN_S45E,703MB,Phone,Spreadtrum SC7731C,480x854,240,armeabi-v7a;armeabi,23,2.0
Advan digital,S7C,ADVAN_S7C,692MB,Phone,Spreadtrum SC7731C,1024x600,213,armeabi-v7a;armeabi,23,2.0
Advan digital,ADVAN S50 4G,ADVAN_i5G,884MB,Phone,Spreadtrum SC9850KA,480x854,240,armeabi-v7a;armeabi,27,3.2
Advan digital,S6 Plus,ADVAN_S6_Plus,884MB,Phone,Spreadtrum SC9850K,480x960,240,armeabi-v7a;armeabi,27,3.2
Advan digital,S40,ADVAN_S40,914MB,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,24,2.0
Advan digital,S4T,S4T,,Phone,Spreadtrum SC7731C,480x800,240,armeabi-v7a;armeabi,22,2.0
Advan digital,G3,ADVAN_G3,3830MB,Phone,Mediatek MT6750,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2
Advan digital,I7D,ADVAN_I7D,915MB,Phone,Spreadtrum SC9832A,1024x600,213,armeabi-v7a;armeabi,23,2.0
Advan digital,E1C NXT,ADVAN_E1C_NXT,959MB,Phone,Mediatek MT8321,600x1024,213,armeabi-v7a;armeabi,24,2.0
Advan digital,i5C,i5C,937MB,Phone,Mediatek MT6737,480x854,240,armeabi-v7a;armeabi,23,3.0
Advan digital,i7A,ADVAN_i7A,923MB,Tablet,Mediatek MT8735M,600x1024,160,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Advan digital,S50 Prime,ADVAN_S50_Prime,884MB,Phone,Spreadtrum SC9850K,480x854,240,armeabi-v7a;armeabi,27,3.2
Advan digital,ADVAN G2 plus,ADVAN_5701,2857MB,Phone,Mediatek MT6580,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.1
Advan digital,M4,ADVAN_M4,462MB,Phone,Mediatek MT6570,480x800,240,armeabi-v7a;armeabi,23,2.0
Advan digital,i10,i10,1900MB,Phone,Mediatek MT8735,800x1280,240,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Advan digital,5061,ADVAN_5061,803MB,Phone,Spreadtrum SC9850S,720x1280,320,armeabi-v7a;armeabi,24,3.2
Advan digital,i7U,ADVAN_i_Lite,803MB,Phone,Spreadtrum SC9850,600x1024,213,armeabi-v7a;armeabi,24,3.2
Advance,ADVANCE,SP4871,1910MB,Tablet,Mediatek MT8735B,1280x800,160,armeabi-v7a;armeabi,24,3.1
Advance,HL4736,HL4736,438MB,Phone,Mediatek MT6580M,480x800,240,armeabi-v7a;armeabi,27,2.0
Advance,Pr6150,Pr6150,952MB,Tablet,Mediatek MT8321,800x1280,160,armeabi-v7a;armeabi,24,2.0
Advance,Pr6146,Pr6146,957MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,24,2.0
Advance,Tr3946,Tr3946,981MB,Tablet,Rockchip RK3126C,1024x600,160,armeabi-v7a;armeabi,27,2.0
Advance,HL6248,HL6248,944MB,Phone,Mediatek MT6580,720x1440,320,armeabi-v7a;armeabi,27,2.0
Advance,HL6256,HL6256,883MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Advance,TR4986,Tablet_adv_v1,961MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,24,2.0
Advance,HL5576,HL5576,948MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,27,2.0
Advance,Pr5747,Pr5747,984MB,Tablet,Rockchip RK3126C,600x1024,160,armeabi-v7a;armeabi,25,2.0
Advance,HL5585,HL5585,957MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
Advance,HL5677,HL5677,922MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,27,2.0
Advantage,I101MTK,I101MTK,1972MB,Tablet,Mediatek MT8321,1280x800,160,armeabi-v7a;armeabi,24,2.0
Advantage Air,PIC8GS8,PIC8GS8,1975MB,Phone,Mediatek MT8163,800x1280,240,arm64-v8a;armeabi-v7a;armeabi,27,3.1
Advantage Air,PIC7GS8,PIC7GS8,975MB,Tablet,Mediatek MT8167B,600x1024,160,armeabi-v7a;armeabi,27,3.2
Aelion,i8,Aelion_i8,1910MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Affix,T737,AFFIX_T737,923MB,Tablet,Mediatek MT8735M,600x1024,160,arm64-v8a;armeabi-v7a;armeabi,23,3.0
AfriOne,moxie,moxie,1879MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
afriphone,smart_S5,smart_S5,937MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,27,2.0
AG Mobile,AG BOOST 2,BOOST2,460MB,Phone,Mediatek MT6580,480x800,240,armeabi-v7a;armeabi,22,2.0
AG Mobile,HASHTAG,Hashtag,1928MB,Phone,Mediatek MT6753,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22,3.0
AG Mobile,AGM A9,HSSDM450QC,4096MB,Phone,Qualcomm SDM450,2160x1080,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
AG Mobile,AGM X3,T91EUE1,8192MB,Phone,Qualcomm SDM845,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2
AG Mobile,Freedom Access,Freedom_Access,463MB,Phone,Mediatek MT6572W,480x800,240,armeabi-v7a;armeabi,22,2.0
AG Mobile,Zone,Zone,462MB,Phone,Mediatek MT6572W,480x854,240,armeabi-v7a;armeabi,22,2.0
AG Mobile,Shine,Shine,462MB,Phone,Mediatek MT6582M,480x854,240,armeabi-v7a;armeabi,22,2.0
AG Mobile,AG Flair,AG_Flair,951MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,22,2.0
AG Mobile,Zoom,Zoom,470MB,Phone,Mediatek MT6572M,320x480,160,armeabi-v7a;armeabi,19;22,2.0
AG Mobile,AG Go Tab Access 2,AG_Go_Tab_Access_2,963MB,Tablet,Mediatek MT8321,600x1024,160,armeabi-v7a;armeabi,22,2.0
AG Mobile,Glow,Glow,971MB,Phone,Mediatek MT6572W,480x800,240,armeabi-v7a;armeabi,22,2.0
Aikun,RX300,X300,2018MB,Tablet,Allwinner A83T,1280x800,160,armeabi-v7a;armeabi,22,2.0
Aikun,EDSTAR LC-TS08S,LC-TS08S,970MB,Tablet,Mediatek MT8127,800x1280,213,armeabi-v7a;armeabi,23,2.0
Aimson,Q88,Q88,985MB,Tablet,Rockchip RK3126C,1024x600,160,armeabi-v7a;armeabi,25,2.0
Aiuto,AT701,AT701,972MB,Tablet,Mediatek MT8163,600x1024,160,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Aiuto,AT1001,AT1001,1976MB,Tablet,Mediatek MT8163,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,23,3.0
Aiwa,Z9 PLUS,AIWA_Z9_PLUS,1927MB,Phone,Mediatek MT6737,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Aiwa,AWM999,AWM999,1879MB,Phone,Mediatek MT6739WA,720x1440,320,armeabi-v7a;armeabi,27,3.2
Aiwa,AWM501,AWM501,953MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
Aiwa,AW790,AW790,2861MB,Phone,Mediatek MT6737T,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Aiwa,Z9,AIWA_Z9,926MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,24,3.1
Alba,Alba 4G Plus,ac57crs,876MB,Phone,Spreadtrum SC9832,720x1440,280,armeabi-v7a;armeabi,24,2.0
Alba,Alba8Nou,Alba8Nou,974MB,Tablet,Mediatek MT8163,800x1280,213,armeabi-v7a;armeabi,27,3.1
Alba,Alba10Nou,Alba10Nou,974MB,Tablet,Mediatek MT8163,800x1280,160,armeabi-v7a;armeabi,27,3.1
Alba,Alba_8in,Alba_8in,968MB,Tablet,Mediatek MT8163,800x1280,213,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Alba,ALBA 7 TABLET,ac70plv6,972MB,Tablet,Mediatek MT8163,600x1024,160,arm64-v8a;armeabi-v7a;armeabi,24,3.1
Alba,Alba7Nou,Alba7Nou,980MB,Tablet,Mediatek MT8163,600x1024,160,armeabi-v7a;armeabi,27,3.1
Alba,Alba 6,ac60crs,1814MB,Phone,Spreadtrum SC9850,720x1440,280,armeabi-v7a;armeabi,24,3.2
Alco,Voyager Pro,RCT6873W42BMF8KC,980MB,Tablet,Mediatek MT8167B,1024x600,160,armeabi-v7a;armeabi,27,3.2
Alco,Alco S9,Alco_S9,3757MB,Phone,Mediatek MT6750,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Alcor,Alcor,Access_Q784C,951MB,Tablet,Mediatek MT8321,1024x600,160,armeabi-v7a;armeabi,24,2.0
Alcor,Alcor,Zest_Q108I,916MB,Tablet,Allwinner A64,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,25,2.0
Alcor,Alcor,Zest_Q708I,916MB,Tablet,Allwinner A64,600x1024,160,arm64-v8a;armeabi-v7a;armeabi,25,2.0
Alcor,Comet_O118LR,Comet_O118LR,1860MB,Tablet,Mediatek MT6753,1920x1200,320,arm64-v8a;armeabi-v7a;armeabi,27,3.1
Aligator,RX700,RX700,2875MB,Phone,Mediatek MT6739WW,720x1440,320,armeabi-v7a;armeabi,27,3.2
Aligator,ALIGATOR S6000,ALIGATOR_S6000,957MB,Phone,Mediatek MT6580M,480x960,240,armeabi-v7a;armeabi,27,2.0
Aligator,Aligator S5066,Aligator_S5066,958MB,Phone,Mediatek MT6580M,480x854,240,armeabi-v7a;armeabi,27,2.0
Aligator,ALIGATOR S5070,ALIGATOR_S5070,953MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
Aligator,RX600,RX600,1831MB,Phone,Mediatek MT6739WW,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2
Aligator,RX460,RX460,963MB,Phone,Mediatek MT6580,540x960,240,armeabi-v7a;armeabi,24,2.0
Aligator,S5065,ALIGATORS5065,904MB,Phone,Mediatek MT6580,480x854,240,armeabi-v7a;armeabi,24,2.0
AllCall,AllCall_S1_X,AllCall_S1_X,1939MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
AllCall,Tab_1_3G,Tab_1_3G,918MB,Tablet,Spreadtrum SC7731G,600x1024,160,armeabi-v7a;armeabi,24,2.0
AllCall,AllCall_S1,AllCall_S1,1932MB,Phone,Mediatek MT6580,640x1280,320,armeabi-v7a;armeabi,27,2.0
AllCall,Tab_2_3G,Tab_2_3G,914MB,Tablet,Spreadtrum SC7731G,800x1280,213,armeabi-v7a;armeabi,24,2.0
AllCall,AllCall_Madrid,AllCall_Madrid,953MB,Phone,Mediatek MT6580,720x1280,320,armeabi-v7a;armeabi,24,2.0
AllCall,Rio_X,Rio_X,953MB,Phone,Mediatek MT6580,480x960,240,armeabi-v7a;armeabi,27,2.0
AllCall,MIX2,MIX2,6144MB,Phone,Mediatek MT6737,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2
